Base,Lat,Long,Zone,Region
Ahmedabad,23.022505,72.5713621,Toll-NZ,AHD
Vadodara,22.3071588,73.1812187,Toll-NZ,SUR
Ambala,30.3752011,76.782122,Toll-NZ,ROK
Gandhidham,23.075297,70.133673,Toll-NZ,AHD
Sonipat,28.9930823,77.0150735,Toll-NZ,ROK
Mandi,31.7087153,76.9320104,Toll-NZ,AMR
Ajmer,26.4498954,74.6399163,Toll-NZ,JAI
Delhi,28.6139298,77.2088282,Toll-NZ,DEL
Mahendergarh,28.2734201,76.1401349,Toll-NZ,ROK
Rajsamand,25.0583257,73.8860034,Toll-NZ,UDR
Deoli,25.7565132,75.3843756,Toll-NZ,JAI
Kotputli,27.7054216,76.1942048,Toll-NZ,JAI
Palwal,28.1472852,77.3259878,Toll-NZ,DEL
Falna,25.2332965,73.2452239,Toll-NZ,UDR
Rajkot,22.3038945,70.8021599,Toll-NZ,AHD
Jaipur,26.9124336,75.7872709,Toll-NZ,JAI
Nimbaheda,24.6239992,74.6892525,Toll-NZ,UDR
Nagaur,27.1983368,73.7493272,Toll-NZ,JAI
Rudrapur,28.9875082,79.4141214,Toll-NZ,DEL
Bhilwara,25.3407388,74.6313183,Toll-NZ,UDR
Jodhpur,26.2389469,73.0243094,Toll-NZ,UDR
Mohali,30.7046486,76.7178726,Toll-NZ,AMR
Bikaner,28.0229348,73.3119159,Toll-NZ,JAI
Amravati,20.9319821,77.7523039,Toll-WZ,NAG
Mauda,21.146112,79.4042712,Toll-WZ,NAG
Barmer,25.7521467,71.3966865,Toll-NZ,UDR
Nagpur,21.1458004,79.0881546,Toll-WZ,NAG
Agra,27.1766701,78.0080745,Toll-EZ,AGR
INDORE,22.7195687,75.8577258,Toll-WZ,MP
Rohtak,28.8955152,76.606611,Toll-NZ,ROK
Kanpur,26.449923,80.3318736,Toll-EZ,AGR
Keshtopur,22.5971854,88.4370585,Toll-EZ,KOL
Pathankot,32.2733352,75.6522066,Toll-NZ,AMR
Pahtankot,32.2733352,75.6522066,Toll-NZ,AMR
Varanasi,25.3176452,82.9739144,Toll-EZ,LKW
Gaya,24.7913957,85.0002336,Toll-EZ,PAT
Virar,19.4559185,72.7762815,Toll-WZ,PUN
Ludhiana,30.900965,75.8572758,Toll-NZ,AMR
Khed Shivapur,18.3440101,73.8430091,Toll-WZ,PUN
Moradabad,28.8386481,78.7733286,Toll-NZ,DEL
Solapur,17.6599188,75.9063906,Toll-WZ,PUN
Bhagalpur,25.2371958,86.9745702,Toll-EZ,PAT
Muzaffarpur,26.1196607,85.390982,Toll-EZ,PAT
Bhilai-3,21.1938475,81.3509416,Toll-WZ,RAI
Aligarh,27.8973944,78.0880129,Toll-NZ,DEL
Kota,25.2138156,75.8647527,Toll-NZ,UDR
Fatehabad,29.5131814,75.4509532,Toll-NZ,ROK
shivpuri,25.4320478,77.6643815,Toll-WZ,MP
Bhopal,23.2599333,77.412615,Toll-WZ,MP
Jabalpur,23.1685786,79.9338798,Toll-WZ,RAI
Dhule,20.9042201,74.7748979,Toll-WZ,NAG
Nashik,19.9974533,73.7898023,Toll-WZ,NAG
Chandigarh,30.7333148,76.7794179,Toll-NZ,AMR
Gorakhpur,26.7605545,83.3731675,Toll-EZ,LKW
Ayodhya,26.7921605,82.1997954,Toll-EZ,LKW
Jhansi,25.4487699,78.5697526,Toll-EZ,AGR
Meerut,28.9844618,77.7064137,Toll-NZ,DEL
Lucknow,26.8466937,80.946166,Toll-EZ,LKW
Prayagraj-1,25.468338,81.8546019,Toll-EZ,AGR
Prayagraj-2,25.468338,81.8546019,Toll-EZ,AGR
Taga ram,27.0238036,74.2179326,Toll-NZ,UDR
Duttapukur,22.7711798,88.5444475,Toll-EZ,KOL
SURAT,21.1702401,72.8310607,Toll-NZ,SUR
Navsari,20.9467019,72.9520348,Toll-NZ,SUR
Gr. Noida,28.4743879,77.5039904,Toll-NZ,DEL
Jammu,32.7266016,74.8570259,Toll-NZ,AMR
Bilaspur,22.0796545,82.1409152,Toll-WZ,RAI
Dhamtari,20.7101344,81.5489077,Toll-WZ,RAI
Samserganj,24.6755913,87.9558412,Toll-EZ,KOL
UJJAIN,23.1764665,75.7885163,Toll-WZ,MP
Gwalior,26.2124007,78.1772053,Toll-WZ,MP
Saharanpur,29.9680035,77.5552066,Toll-NZ,DEL
Lucknow-1,26.759988,80.9473094,Toll-EZ,LKW
Sultanpur,26.2585371,82.0659858,Toll-EZ,LKW
Chikalthana,19.8852192,75.382629,Toll-WZ,PUN
Kolhapur,16.7049873,74.2432527,Toll-WZ,PUN
Seoni,22.0868691,79.5434841,Toll-WZ,RAI
Rewa,24.5362477,81.3036946,Toll-WZ,RAI
Deesha,24.2585055,72.1906739,Toll-NZ,AHD
Arrah,25.5541358,84.6664797,Toll-EZ,PAT
Shilong,25.5787726,91.8932535,Toll-EZ,KOL
Madhyamgram,22.6924004,88.4653367,Toll-EZ,KOL
Siliguri,26.7271012,88.3952861,Toll-EZ,KOL
Islampur,26.2554319,88.2009408,Toll-EZ,KOL
Kestopur,22.5971854,88.4370585,Toll-EZ,KOL
Lakhimpur,27.9462395,80.7787163,Toll-EZ,LKW
