Actual State,Plaza_Code,Plaza Name,"Plaza Sub
 Type",State,City,Toll_Lat,Toll_Long,Zone,Region,Tagged
Rajasthan,330025,Rajora Khurd,NATIONAL,Rajasthan,Bharatpur,26.8539,77.7228,Toll-NZ,JAI,JAI-T1
Punjab,314028,Bachhwan,NATIONAL,Punjab,Balachaur,31.0114,76.389,Toll-NZ,AMR,AMR-T2
Gujarat,536020,Adalaj Toll Plaza,STATE,Gujarat,Adalaj,23.1864,72.5602,Toll-NZ,AHD,AHD-T1
Gujarat,2006,Ahmedab ad (Ring Road) Toll Pl,NATIONAL,Gujarat,Ahmedab ad,22.9738,72.473,Toll-NZ,AHD,AHD-T1
Gujarat,2010,Ahmedab ad Ring Road 2,NATIONAL,Gujarat,Ahmedab ad,22.9713,72.6613,Toll-NZ,AHD,AHD-T1
Gujarat,2005,Ahmedabad Toll Plaza,NATIONAL,Gujarat,Ahmedab ad,22.9757,72.6503,Toll-NZ,AHD,AHD-T1
Rajasthan,163001,Ludhwai Toll Plaza,NATIONAL,Rajasthan,Bharatpur,27.1785,77.4168,Toll-NZ,JAI,JAI-T1
Delhi,311001,"Akshardh am Plaza DME KM
2500",NATIONAL,Delhi,New Delhi,28.6123,77.2819,Toll-NZ,DEL,DEL-T1
Punjab,14001,Ambala Chandigar h,NATIONAL,Punjab,Sahibzada Ajit Singh Nagar,30.5274,76.813,Toll-NZ,AMR,AMR-T1
Gujarat,536022,Alva Toll Plaza,STATE,Gujarat,Bayad,23.273,73.204,Toll-NZ,AHD,hoi
Punjab,157001,"BSC-C&C
Kurali Toll Plaza",NATIONAL,Punjab,Rupnagar,30.9083,76.5453,Toll-NZ,AMR,AMR-T1
Rajasthan,330002,Lasedi,NATIONAL,Rajasthan,Churu,28.7015,75.4758,Toll-NZ,JAI,JAI-T3
Gujarat,536008,AMTL-TP-01 Vasna- Iyava,STATE,Gujarat,Vasna- Iyava,23.0073,72.3477,Toll-NZ,AHD,AHD-T2
Gujarat,536009,AMTL- TP02-Malvan,STATE,Gujarat,Malvan,23.0709,71.785,Toll-NZ,AHD,AHD-T2
Gujarat,536010,AMTL- TP03-Soldi,STATE,Gujarat,Soldi,23.0009,71.3728,Toll-NZ,AHD,AHD-T2
Gujarat,536011,AMTL- TP04-Aniyari,STATE,Gujarat,Aniyari,23.0725,70.8583,Toll-NZ,AHD,AHD-T2
Gujarat,2008,Anand Toll Plaza,NATIONAL,Gujarat,Anand,22.5945,72.9812,Toll-NZ,SUR,SUR-T1
Rajasthan,330096,Aroli,NATIONAL,Rajasthan,Bhilwara,25.0911,75.1988,Toll-NZ,UDR,UDR-T3
Haryana,312038,Asoda,STATE,Haryana,Asoda,28.725,76.8465,Toll-NZ,ROK,ROK-T5
Himachal Pradesh,517003,Atal Tunnel Toll,STATE,Himachal Pradesh,Manali,32.4401,77.1651,Toll-NZ,AMR,AMR -T 5
Punjab,314015,Badbar,NATIONAL,Punjab,Sangrur,30.2476,75.639,Toll-NZ,AMR,AMR-T2
Haryana,312027,Badarpur faridabad Toll Plaza,NATIONAL,Haryana,Faridabad,28.4762,77.3054,Toll-NZ,DEL,DEL-T1
Punjab,314038,Balluana Toll Plaza,NATIONAL,Punjab,Bhatinda,30.2274,74.7636,Toll-NZ,AMR,AMR-T2
Rajasthan,163002,Amoli Toll Plaza,NATIONAL,Rajasthan,Bharatpur,27.1013,77.0908,Toll-NZ,JAI,JAI-T1
Rajasthan,330003,Dhadhar,NATIONAL,Rajasthan,Churu,28.3458,75.068,Toll-NZ,JAI,JAI-T3
Haryana,312039,Badli,STATE,Haryana,Badli,28.5752,76.8208,Toll-NZ,ROK,ROK-T5
Haryana,312066,Bamla Toll Plaza,NATIONAL,Haryana,Bhiwani,28.8048,76.2232,Toll-NZ,ROK,ROK-T4
Rajasthan,330116,Bagaliya Toll Plaza,NATIONAL,Rajasthan,Beawar,25.8843,74.16,Toll-NZ,UDR,UDR-T2
Rajasthan,330117,Baggar Toll Plaza,NATIONAL,Rajasthan,Gomti,25.5903,73.902,Toll-NZ,UDR,UDR-T2
Gujarat,536007,Bagodara TOLL PLAZA,STATE,Gujarat,Ahmedab ad,22.6307,#VALUE!,Toll-NZ,AHD,AHD-T1
Rajasthan,31001,Barkheda Toll Plaza,NATIONAL,Rajasthan,Jaipur,26.6881,75.9047,Toll-NZ,JAI,JAI-T5
Uttar Pradesh,520009,Bajna Ramp Toll Plaza,STATE,Uttar Pradesh,Mathura,27.8832,77.666,Toll-NZ,DEL,DEL-T3
Rajasthan,330121,Balana Toll Plaza,NATIONAL,Rajasthan,Pali,25.2933,73.0857,Toll-NZ,UDR,UDR-T5
Punjab,314027,Behram,NATIONAL,Punjab,Behram,31.2044,75.876,Toll-NZ,AMR,AMR-T2
